lat,lon,point_type,description
-42.084371,-63.867582,start,Start point 1
-42.084520,-63.867496,start,Start point 2
-42.085076,-63.871035,end,End point 1
-42.085348,-63.870886,end,End point 2
-42.084360,-63.867691,top_edge,Top edge 1
-42.084418,-63.868053,top_edge,Top edge 2
-42.084467,-63.868250,top_edge,Top edge 3
-42.084534,-63.868537,top_edge,Top edge 4
-42.084587,-63.868683,top_edge,Top edge 5
-42.084671,-63.868935,top_edge,Top edge 6
-42.084725,-63.869125,top_edge,Top edge 7
-42.084772,-63.869388,top_edge,Top edge 8
-42.084836,-63.869808,top_edge,Top edge 9
-42.084864,-63.869953,top_edge,Top edge 10
-42.084915,-63.870255,top_edge,Top edge 11
-42.084953,-63.870431,top_edge,Top edge 12
-42.085021,-63.870748,top_edge,Top edge 13
-42.084371,-63.867582,bottom_edge,Bottom edge 1
-42.084520,-63.867496,bottom_edge,Bottom edge 2
-42.085073,-63.870863,bottom_edge,Bottom edge 3
-42.084597,-63.867633,bottom_edge,Bottom edge 4
-42.084635,-63.867793,bottom_edge,Bottom edge 5
-42.084658,-63.867900,bottom_edge,Bottom edge 6
-42.084704,-63.868023,bottom_edge,Bottom edge 7
-42.084741,-63.868187,bottom_edge,Bottom edge 8
-42.084776,-63.868289,bottom_edge,Bottom edge 9
-42.084813,-63.868448,bottom_edge,Bottom edge 10
-42.084837,-63.868602,bottom_edge,Bottom edge 11
-42.084867,-63.868800,bottom_edge,Bottom edge 12
-42.084894,-63.868955,bottom_edge,Bottom edge 13
-42.084942,-63.869132,bottom_edge,Bottom edge 14
-42.085004,-63.869279,bottom_edge,Bottom edge 15
-42.085049,-63.869395,bottom_edge,Bottom edge 16
-42.085090,-63.869588,bottom_edge,Bottom edge 17
-42.085140,-63.869811,bottom_edge,Bottom edge 18
-42.085151,-63.869924,bottom_edge,Bottom edge 19
-42.085187,-63.870152,bottom_edge,Bottom edge 20
